id	en	zh
kishi2026proposal	Pinch gestures operate a VR kana keyboard and an editing mode with deletion, modifiers and conversion-candidate selection.	捏合手势操控 VR 假名键盘及编辑模式，支持删除、修饰符和转换候选选择。
mokuya2026japanese	Large consonant keys and vowel taps compose kana on a smartwatch; predictive conversion is proposed as future work.	通过大尺寸辅音键和元音点击在智能手表上组合假名，预测性转换属于后续工作。
takeuchi2026kuchimoji	Mouth shapes estimate vowels; scanning and confirmation signals select kana. The system supports speech playback, but not Kanji conversion.	口型用于估计元音，再通过扫描及确认信号选择假名；系统支持语音播放，不包含汉字转换。
tanakaishii2002entering	Ambiguous input on four character buttons is resolved through predictive completion and selection from ranked word candidates.	四个字符按键产生的歧义输入，通过预测补全及排序词候选的选择消解。
kurihara2006speech	Ambient speech and handwriting recognition suggest text that can be inserted into Japanese notes in a personalized handwriting style.	环境语音与手写识别提供文字建议，可按个性化手写风格插入日文笔记。
hatano2009japanese	Surface EMG generates pseudo-key events for Japanese word-candidate selection, paging and confirmation.	表面肌电生成模拟按键事件，用于日文词候选选择、翻页与确认。
li2009bci	A P300 messenger offers Chinese stroke entry, candidate selection and deletion, then sends the resulting message.	P300 消息系统提供中文笔画输入、候选选择及删除，并发送生成的消息。
jin2010chinese	A stroke-to-Chinese candidate interface is designed around P300 classification; the experiment evaluates cued components rather than voluntary messages.	围绕 P300 分类设计笔画转汉字候选界面，实验评估提示条件下的组件选择，而非自主消息输入。
kotani2010design	An eye-typing interface selects kana using gaze timing, with written and auditory confirmation; calibration corrects sensor drift.	眼控打字界面依据注视时序选择假名，并提供文字及声音确认；校准用于修正传感器漂移。
lee2011hangul	Hierarchical P300 stimuli select Hangul components in syllable order, with null-final and undo controls.	分层 P300 刺激按照音节顺序选择 Hangul 组成部分，并提供空韵尾及撤销控制。
sun2011design	ERP-based Zhuyin selection produces traditional Chinese candidates, followed by character selection, paging and deletion.	基于事件相关电位选择注音符号，生成繁体汉字候选，再进行选字、翻页和删除。
bi2012multilingual	Touchscreen layout optimization includes the Roman-letter portion of Pinyin; the Han-candidate phase is excluded and user testing uses English.	触屏布局优化涵盖拼音的罗马字母输入部分，不包含汉字候选环节，用户实验使用英文。
liang2012eye	Gaze selects Pinyin keys and Chinese phrase candidates, with paging, punctuation and backspace controls.	通过注视选择拼音按键及中文词组候选，并提供翻页、标点和退格功能。
minett2012chinese	Three-stage P300 selection composes traditional Chinese characters from components. The experimental protocol prohibits repairing component errors.	三阶段 P300 选择通过部件构成繁体汉字，实验协议禁止修正部件选择错误。
chen2013cursor	Motor-imagery cursor control selects Pinyin letters; a Chinese IME converts them into Han text for messaging.	运动想象控制光标选择拼音字母，由中文输入法转换为汉字并用于消息发送。
hagiwara2013koosho	Aerial letter trajectories form a lattice; consonant decoding produces Kanji candidates that users touch to submit a search query.	空中字母轨迹形成词格，辅音解码生成汉字候选，用户触及候选后提交检索式。
huang2013fastest	Brain-wave selection enters Zhuyin before switching to Chinese candidates; the reported experiment measures item selections, not complete sentences.	通过脑电选择输入注音，再切换到汉字候选；报告的实验计量项目选择，并非完整句子输入。
yu2016brain	P300 selection moves from Pinyin initials and finals to frequency-ranked Han characters, with prediction, paging and repair controls.	P300 选择从拼音声母和韵母进入按频率排列的汉字候选，支持预测、翻页与修正。
han2017eighty	An eighty-target brain speller first selects a Pinyin range, then a Chinese homophone candidate, with extra commands for correction.	八十目标脑控拼写器先选择拼音范围，再选择同音汉字候选，并以额外命令纠错。
gan2020air	Continuous in-air Chinese handwriting is projected and decoded into text using temporal convolution, recurrent modeling and a language model.	连续空中中文手写经投影后，结合时序卷积、循环建模及语言模型解码为文本。
li2020approach	The study detects error-related brain responses during Pinyin-component spelling; it does not demonstrate automatic repair of final Han text.	研究检测拼音组件拼写中的错误相关脑反应，未展示最终汉字文本的自动修正。
shi2020steady	An SSVEP interface combines Pinyin entry and Han-candidate selection for home communication by a person with ALS.	SSVEP 界面结合拼音输入与汉字候选选择，支持一名 ALS 患者在家中交流。
guo2021calibration	An updating P300 classifier supports cued Pinyin and Chinese-word selections, using known copy targets as rewards.	动态更新的 P300 分类器支持提示条件下的拼音及中文词语选择，并以已知抄录目标提供奖励。
ogata2021effectiveness	Gaze-controlled Romaji keys send Japanese kana to text editors, including modifiers and deletion; Kanji conversion is not evaluated.	眼控罗马字按键将日文假名发送至文本编辑器，并支持修饰与删除；未评估汉字转换。
huang2022calibration	A transfer-based P300 classifier selects Pinyin initials, finals and tones under cued spelling; free-composition correction is not demonstrated.	基于迁移的 P300 分类器在提示式拼写中选择拼音声母、韵母和声调，未展示自由表达中的纠错。
li2022practical	P300 selects Pinyin initials and finals; eye tracking then selects the Chinese character from a homophone list.	P300 选择拼音声母和韵母，随后由眼动从同音字列表中选择汉字。
tang2022interface	Three gaze-controlled Chinese keyboard layouts are compared through daily-sentence entry with dwell selection and permitted corrections.	通过允许纠错的日常句子输入任务，比较三种采用停留选择的眼控中文键盘布局。
gao2024character	A hidden Markov model corrects Pinyin-symbol sequences from a P300 speller; final Han-candidate confirmation is not shown.	隐马尔可夫模型纠正 P300 拼写器产生的拼音符号序列，未展示最终汉字候选确认。
hosono2024segmentation	Aerial hiragana trajectories are segmented and recognized into strings, evaluated on fixed syllabary sequences.	将空中平假名轨迹分割并识别为字符串，以固定音节表序列进行评估。
tong2024eye	Eye movements draw strokes for a limited Mandarin character set; the tested single characters include 一, 十 and 床.	通过眼动绘制有限字集中的汉字笔画，测试的单字包括“一”“十”和“床”。
yang2024reconstructing	Brain signals reconstruct imagined Chinese handwriting trajectories using externally supplied stroke transitions, followed by template and language-model decoding.	脑信号结合外部提供的笔画转换时点重建想象的汉字手写轨迹，随后使用模板与语言模型解码。
wu2025mind	Imagined handwriting is classified into isolated Pinyin components; homophone choice and final Han-character composition are not evaluated.	将想象手写分类为独立拼音组件，未评估同音字选择及最终汉字组合。
ahn2026cheonjiin	EEG signals select five cursor commands on a Cheonjiin keyboard to compose Hangul; command accuracy is distinct from text-entry accuracy.	脑电信号选择 Cheonjiin 键盘上的五种光标命令以组合 Hangul；命令准确率与文字输入准确率不同。
li2026asynchronous	Gaze and P300 signals support initial, final and Han-character selection, supplemented by contextual predictions from a language model.	眼动与 P300 信号支持声母、韵母和汉字选择，并由语言模型提供上下文预测。
wang2026eeg	The dataset records imagined Chinese strokes and Pinyin vowels. It does not demonstrate complete character composition or online spelling.	数据集记录想象中的汉字笔画及拼音元音，未展示完整汉字组合或在线拼写。
komiya2017japanese	Finger flexion and extension select Japanese consonants and vowels in VR, producing kana with a separate deletion gesture.	在 VR 中，通过手指屈伸选择日语辅音与元音以生成假名，并以独立手势删除。
ogitani2018space	A virtual twelve-key keyboard supports Japanese kana and English entry through mid-air or palm-based flick gestures.	虚拟十二键键盘通过空中或掌上滑动手势，支持日文假名和英文输入。
yang2018interaction	Gesture recognition separates writing from repositioning; projected three-dimensional trajectories are passed to a Chinese handwriting recognizer.	手势识别区分书写与重新定位，再将三维轨迹投影后交由中文手写识别器处理。
kato2023hover	A wrist camera detects hovering fingertips for dwell-based kana selection while allowing the arm to remain lowered.	腕部摄像头检测悬停指尖，以停留方式选择假名，并允许手臂保持低位。
monobe2025research	Touch, pinch and flick actions operate a Japanese kana keyboard in VR, with modifiers and deletion controls.	触碰、捏合及滑动操作 VR 日文假名键盘，并支持修饰符和删除。
yuasa2025flickpose	One hand selects a key and the other selects a symbol through hand poses; dictionary-based kana–Kanji conversion produces Japanese text.	一只手选键，另一只手通过手势选字符，再由基于词典的假名转汉字生成日文文本。
chen2000statistical	Statistical Pinyin-to-Chinese conversion combines a language model with spelling tolerance and modeless English entry.	统计拼音转汉字结合语言模型、拼写容错及无模式切换的英文输入。
wang2001chinese	Keyboard and eye-tracking methods are compared for Chinese candidate selection in a single-character dictation task.	通过单字听写任务，比较键盘和眼动两种汉字候选选择方式。
liu2002approach	A small-memory Pinyin converter learns real and artificial word entries to improve tonal Pinyin-to-character conversion.	小内存拼音转换器学习真实词与构造词条，以改进带声调拼音转汉字。
lo2002cross	A cross-platform engine demonstrates Cangjie and simplified shape-code input, with prefix hints, numbered candidates and browser glyph images.	跨平台引擎演示仓颉及简易形码输入，提供前缀提示、数字候选选择和浏览器字形图片。
matic2002quickstroke	Chinese handwriting candidates update after each additional stroke, allowing selection before the character is fully written.	每增加一笔便更新汉字手写候选，用户可在写完全部笔画前选择目标字。
huang2004adaptive	Compression-based statistical modeling adapts Pinyin-to-Chinese conversion across news and story text, assuming one pronunciation per character.	基于压缩的统计建模使拼音转汉字适应新闻和故事文本，模型假定每字仅有一种读音。
xiaolong2004mining	Rough-set rules learned from corpus contexts convert segmented toneless Pinyin into Chinese, allowing unresolved cases to remain undecided.	由语料上下文学习粗糙集规则，将已分音节的无调拼音转换为汉字，并允许对未解决的情况保留判断。
ge2005online	A handwriting interface accepts Chinese characters or Pinyin syllables; recognized Pinyin opens a frequency-ranked Han-candidate list.	手写界面接受汉字或拼音音节，识别出的拼音用于打开按频率排列的汉字候选列表。
lin2005graphics	Graphical keypad labels are compared for stroke-based Chinese entry, using both mobile typing and stroke-to-key mapping tasks.	通过手机输入及笔画到按键映射任务，比较中文笔画输入键盘上的图形标签。
tsai2005applying	A mix word-pair identifier resolves phonetic and segmentation ambiguities by replacing selected words in converted Chinese sentences.	混合词对识别器通过替换已转换中文句子中的选定词语，消解读音及分词歧义。
tsai2005word	Word-pair co-occurrence helps disambiguate tonal or toneless syllables during traditional Chinese input.	词对共现信息用于消解繁体中文输入中带调或无调音节的歧义。
hsu2006spoken	Spoken character descriptions constrain recognition to correct Zhuyin-based Chinese input, either replacing text or narrowing candidates.	口述汉字描述约束识别范围，用于修正基于注音的中文输入，可直接替换文字或缩小候选范围。
liu2006application	A coarsened Pinyin candidate lattice is decoded with lexical models, then refined using grammar and semantic information.	先简化拼音候选词格并以词汇模型解码，再利用语法及语义信息细化结果。
tsai2006word	Support scores from matching multisyllabic word pairs rank replacements to resolve Chinese syllable-to-word ambiguity.	根据匹配的多音节词对计算支持度，对替换词排序，以消解中文音节转词歧义。
tseng2006chinese	Reduced first-symbol phonetic input is assessed through language-model uncertainty; decoded Chinese entry is not directly evaluated.	通过语言模型的不确定性评估首符号简化注音输入，未直接评估解码后的中文输入。
wang2006maximum	Maximum-entropy modeling converts toneless Pinyin character by character using local and longer-distance phonetic context.	最大熵模型结合局部及较远距离的读音上下文，将无调拼音逐字转换为汉字。
zhou2006improved	Speech hypotheses and incremental handwritten strokes jointly rerank Chinese character candidates after each stroke.	语音假设与逐步增加的手写笔画共同作用，每写一笔便重新排列汉字候选。
lin2007constructing	A simulated stroke keypad tests Chinese character construction; predictive candidates are analyzed retrospectively rather than selected interactively.	模拟笔画键盘用于测试汉字构造，预测候选在事后分析，并非交互选择。
liu2007chinese	Mobile Pinyin phrase entry compares direct Chinese candidate selection with an explicit Pinyin-disambiguation stage.	手机拼音词组输入比较直接选择汉字候选与先明确消解拼音歧义的方式。
ma2007line	Handwritten shorthand is recognized into consonant and rhyme interpretations; conversion through Pinyin into Han text remains future work.	手写速记识别产生声母及韵母解释，经拼音转换为汉字仍属于后续工作。
tung2007key	Zhuyin symbols are mapped to reduced key sets to balance key count and ambiguity in traditional Chinese selection.	将注音符号映射至精简键集，在繁体汉字选择中平衡按键数量与编码歧义。
xiao2007exploiting	Pinyin context predicts word classes that are combined with transition and emission scores for Chinese sequence decoding.	利用拼音上下文预测词类，再结合转移及发射分数进行中文序列解码。
zhou2007segment	A segment-based hidden Markov model converts continuous Pinyin into Chinese using lexical and cross-word character probabilities.	基于片段的隐马尔可夫模型结合词汇及跨词字符概率，将连续拼音转换为中文。
jiang2008multimodal	Speech, keypad initials and word frequency are fused to generate Chinese candidates that the user confirms.	融合语音、键盘声母和词频，生成由用户确认的中文候选。
lin2008novel	A word-distance language model converts Pinyin and supports locating and replacing an erroneous candidate with an additional key action.	词距语言模型用于拼音转换，并支持以额外按键定位和替换错误候选。
