id	ja	ko
wang2015preliminary	読み上げと触覚的な文字構造教材で、中国語の表音・字形入力を教える。	화면 읽기와 촉각 문자 구조 교재로 중국어 표음·형태 입력을 가르친다.
xie2017attitude	高齢者が普段のキーボード・手書き・音声で中国語を入力し、書き直しや切替の困難を調べる。	고령자가 익숙한 키보드, 필기, 음성으로 중국어를 입력하며 다시 쓰기와 전환의 어려움을 조사한다.
jabeen2018sak	走査で子音・音節・漢字候補を順に選び、連想・削除・読み上げを利用する。	스캐닝으로 자음, 음절, 한자 후보를 순서대로 선택하며 연상, 삭제, 읽기를 지원한다.
jabeen2019modeling	声母・音節から漢字候補を生成し、文字言語モデルで文中の置換候補を順位付けする。	성모와 음절로 한자 후보를 생성하고 문자 언어 모델로 문장 내 대체 후보를 정렬한다.
liao2019enabling	縦断的な教育研究で、読み上げを使った注音・嘸蝦米入力と情報検索を支援する。	종단 교육 연구에서 화면 읽기를 활용한 주음·Boshiamy 입력과 정보 검색을 지원한다.
lv2019brain	脳制御の拼音画面で声母・韻母・声調・漢字候補を段階的に選択する。	뇌 제어 병음 화면에서 성모, 운모, 성조, 한자 후보를 단계적으로 선택한다.
shi2019vipboard	拼音修正後に漢字変換し、候補をジェスチャー操作する。報告速度には漢字選択時間を含まない。	병음 수정 후 한자로 변환하고 제스처로 후보를 조작한다. 보고 속도에는 한자 선택 시간이 포함되지 않는다.
yu2019asynchronous	3回の瞬目でEEG綴り入力を起動し、2回の瞬目で予測漢字を選択する。	세 번 눈을 깜박여 EEG 철자 입력을 시작하고 두 번 깜박여 예측 한자를 선택한다.
han2020write	脳制御で座標を選び、ロボットが福の筆画を描く。出力は編集可能な文字コードではなく物理的字形である。	뇌 제어로 좌표를 선택해 로봇이 福의 획을 그린다. 출력은 편집 가능한 문자 코드가 아닌 물리적 글자 형태이다.
wang2020effects	若年者と高齢者が制限時間内に携帯端末で注音または手書きによる繁体字入力を行う。	젊은 사용자와 고령자가 제한 시간 안에 휴대 기기에서 주음 또는 필기로 번체자를 입력한다.
sun2022design	6キー点字をUnicode点字として保存し、拼音を介して漢字に変換してクリップボードへ送る。	6키 점자를 유니코드 점자로 저장하고 병음을 거쳐 한자로 변환하여 클립보드에 보낸다.
weng2022establishment	音声説明と構造化教材で、先天盲の学習者に嘸蝦米の字形符号による繁体字入力を教える。	음성 설명과 체계적인 교재로 선천성 시각장애 학습자에게 Boshiamy 형태 코드를 이용한 번체자 입력을 가르친다.
young2023enabling	読み上げ支援の中国語入力と検索を識字学習に使う。具体的な入力法は本報告では明示されない。	화면 읽기 지원 중국어 입력과 검색을 문자 학습에 활용한다. 구체적 입력법은 이 보고서에 명시되지 않는다.
chen2024handwriting	入力枠の大きさ別に指とペンを比較する。課題は単字認識と書き直しである。	입력 칸 크기에 따라 손가락과 펜을 비교하며 과제는 단일 문자 인식과 다시 쓰기이다.
nonoka2024study	装着型視線装置で子音・母音群を選び、仮名修飾・削除・音声確認を行う。	착용형 시선 장치로 자음·모음군을 선택하고 가나 변형, 삭제, 음성 확인을 수행한다.
ahn2025rectus	脚の筋電でCheonjiinのカーソルと選択を操作し、Hangul音節を組み立てる。	다리 근전도로 천지인 키보드의 커서와 선택을 제어하여 한글 음절을 조합한다.
liu2025influence	高齢者の拼音・手書き入力で、漢字の複雑さと入力法を時間・正確さ・削除から調べる。	고령자의 병음·필기 입력에서 한자 복잡도와 입력법을 시간, 정확도, 삭제 횟수로 조사한다.
fukushima2000online	候補格子で字形・大きさ・文脈確率を組み合わせ、連続日本語手書きを同時に分割・認識する。	후보 격자에서 형태, 크기, 문맥 확률을 결합하여 연속 일본어 필기를 동시에 분할·인식한다.
ichimura2000kana	部分的な仮名から漢字列を予測し、採用語句を優先度付き個人辞書に学習する。	부분 가나로 한자열을 예측하고 채택된 구절을 우선순위가 있는 개인 사전에 학습한다.
tokuno2002context	文脈依存の部分筆画HMMで漢字軌跡を認識する。文脈は隣接筆画であり文意ではない。	문맥 의존 부분 획 HMM으로 한자 궤적을 인식한다. 문맥은 인접 획이며 문장 의미가 아니다.
ren2003candidate	ローマ字から漢字への入力で候補表示と改ページを比較し、選択と修正の時間を分けて測る。	로마자에서 한자로 입력하며 후보 표시와 페이지 이동을 비교하고 선택·수정 시간을 별도로 측정한다.
houser2004japanese	等価ローマ字打鍵数で端末間の日本語速度を比較する。直接の漢字毎分指標ではない。	등가 로마자 타건 수로 기기 간 일본어 입력 속도를 비교하며 직접적인 분당 한자 수는 아니다.
huang2004statistical	統計復号でHangeulをHanja混じり文へ変換し、語境界と変換すべき語を同時に扱う。	통계 디코딩으로 한글을 한자·한글 혼합문으로 변환하며 단어 경계와 변환할 단어를 함께 처리한다.
sato2004menu	ペンメニューで子音を入力し、母音の追加で候補を絞る。辞書で補完と次語予測を行う。	펜 메뉴로 자음을 입력하고 모음을 추가해 후보를 좁힌다. 사전으로 자동 완성과 다음 단어 예측을 제공한다.
komatsu2005corpus	文書から得た複合語を、現在の文脈と入力済み読みの接頭部に応じて補完候補として並べる。	문서에서 얻은 복합어를 현재 문맥과 입력한 발음 접두부에 따라 자동 완성 후보로 정렬한다.
araki2006evaluation	変換候補を音声の読みに戻して検査し、意味パターンでも同音語の誤変換を検出する。	변환 후보를 음성 발음으로 되돌려 검사하고 의미 패턴으로도 동음어 오변환을 감지한다.
araki2006evaluationb	マルコフモデルで未分割の仮名を区切り、仮名漢字候補を生成して境界と正しさを評価する。	마르코프 모델로 분할되지 않은 가나를 나누고 가나·한자 후보를 생성해 경계와 정확성을 평가한다.
doo2006korean	片手のコード打鍵で、音節構造に沿ってHangulの初声・母音・終声を選ぶ。	한 손 화음 타건으로 음절 구조에 따라 한글 초성, 모음, 종성을 선택한다.
itoh2006comparative	ひらがな通信文で2種類の視線入力を比較する。仮名漢字変換は評価していない。	히라가나 의사소통 문장으로 두 시선 입력 방식을 비교하며 가나·한자 변환은 평가하지 않는다.
ota2007online	筆画間文法で単独漢字の軌跡を認識し、異なる筆順にも対応する。	획 사이 문법으로 단일 한자 궤적을 인식하며 다른 획순도 지원한다.
sakurada2007japanese	自由筆記を必要時に分割・結合・認識し、手書き認識または仮名漢字変換の候補を選ぶ。	자유 필기를 필요할 때 분할·병합·인식하고 필기 인식 또는 가나·한자 변환 후보를 선택한다.
sano2007recognition	オンラインの筆軌跡をひらがなテンプレートと照合し、あの認識を例示する。	온라인 붓 궤적을 히라가나 템플릿과 대조하며 あ 인식을 예시로 제시한다.
tonouchi2007text	重ね書きのひらがなを筆画ごとに認識し、削除・漢字変換・確定をジェスチャーで行う。	겹쳐 쓴 히라가나를 획마다 인식하고 제스처로 삭제, 한자 변환, 확정을 수행한다.
ehara2008multilingual	言語を自動検出して各言語の入力エンジンを切り替える。日本語と中国語の変換も含む。	언어를 자동 감지해 언어별 입력 엔진을 전환하며 일본어와 중국어 변환도 포함한다.
go2008itone	2本のジョイスティックで行と母音段を選び、離すと確定する。変換機能の評価は限定的である。	두 조이스틱으로 행과 모음 위치를 선택하고 놓으면 확정한다. 변환 기능 평가는 제한적이다.
ilinkin2008design	12キー携帯配列で子音の複数回押しと形状に基づく母音合成を組み合わせる。	12키 휴대전화 배열에서 자음 여러 번 누르기와 형태 기반 모음 조합을 결합한다.
mladenov2008integrated	日本語ワープロに辞書・部首検索を統合する。筆順画像は教材であり、手書き認識は未実装である。	일본어 워드프로세서에 사전·부수 검색을 통합한다. 획순 이미지는 교재이며 필기 인식은 구현되지 않았다.
miyao2009writer	仮想例でひらがな認識器を書き手に適応させ、別に確保した筆記標本で評価する。	가상 예제로 히라가나 인식기를 필자에 적응시키고 별도 필기 표본으로 평가한다.
shin2009multi	画像ベースの模擬画面で、1本指と2本指の操作によるHangul合成を比較する。	이미지 기반 모의 화면에서 한 손가락과 두 손가락 조작을 이용한 한글 조합을 비교한다.
ilinkin2010evaluation	韓国語携帯入力を比較する。報告速度の文字単位は完成音節ではなく構成字母である。	한국어 휴대전화 입력을 비교하며 보고 속도의 문자 단위는 완성 음절이 아닌 구성 자모이다.
kato2010kana	語単位のマルコフモデルで仮名を仮名漢字混じり文に変換し、文・語・文字別に評価する。	단어 단위 마르코프 모델로 가나를 가나·한자 혼합문으로 변환하고 문장·단어·문자별로 평가한다.
kimioka2011niboshi	マルチタッチで仮名と予測漢字変換を入力する。目を使わない操作はキーに関するもので、文章は見える。	멀티터치로 가나와 예측 한자 변환을 입력한다. 보지 않는 조작은 키에 관한 것이며 출력 문장은 보인다.
ikegami2012modeless	系列特徴で日本語とASCIIを分類して仮名へ写像する。漢字変換は後段の構想である。	시퀀스 특징으로 일본어와 ASCII를 분류해 가나로 매핑한다. 한자 변환은 후속 구상이다.
fukatsu2013look	キーを見ず片手フリックで短い仮名メモを入力する。漢字変換は試験していない。	키를 보지 않고 한 손 플릭으로 짧은 가나 메모를 입력하며 한자 변환은 시험하지 않는다.
go2013designing	EdgeWriteの角経路が筆順と空間構造で日本語の表音文字、主にカタカナを符号化する。	EdgeWrite 모서리 경로가 획순과 공간 구조로 주로 가타카나인 일본어 표음문자를 부호화한다.
kim2013hybrid	練習済みの文で携帯Hangul入力を複合評価し、誤りが生じると試行を中止する。	연습한 문장으로 휴대전화 한글 입력을 복합 평가하며 오류 발생 시 시행을 중단한다.
wu2013web	Webから複合語や句を採掘して変換を拡張し、クラウド候補をローカル候補より先に置く。	웹에서 복합어와 구를 추출해 변환을 확장하고 클라우드 후보를 로컬 후보보다 앞에 배치한다.
ashitaka2014acquisition	階層的練習で仮名語とローマ字打鍵列を結び付ける。実際の変換候補は表示しない。	계층적 연습으로 가나 단어와 로마자 타건열을 연결하며 실제 변환 후보는 표시하지 않는다.
higashida2015one	数字列で日本語の語・名前・住所を検索し、候補表示で曖昧さを解消する。	숫자열로 일본어 단어, 이름, 주소를 검색하고 후보 표시로 모호성을 해소한다.
ikegami2015hybrid	N-gram分類と辞書で日本語の混在入力をASCIIと仮名に分け、その後に漢字変換を行う。	N-gram 분류와 사전으로 혼합 일본어 입력의 ASCII와 가나를 구분한 뒤 한자로 변환한다.
matsuhara2015efficient	仮名で書いたツイートの添付写真と検索画像の類似度を使い、漢字候補を並べ替える。	가나 트윗의 첨부 사진과 검색 이미지의 유사도로 한자 후보 순위를 조정한다.
park2015enhanced	異なる音で韓国語タッチ入力にフィードバックを与える。文の転記実験では自動補完と自動修正を無効にした。	한국어 터치 입력에 서로 다른 소리 피드백을 제공한다. 문장 전사 실험에서는 자동 완성과 교정을 껐다.
lee2016complete	展開可能な頻度順の選択肢から初声・母音・終声を選び、腕時計でHangulを合成する。	스마트워치에서 빈도순으로 펼쳐지는 선택지를 통해 초성·모음·종성을 골라 한글을 조합한다.
han2017mid	大型画面で空中ジェスチャーにより子音と母音を選び、Hangulを合成する。HMDは使わない。	대형 화면에서 공중 제스처로 자음과 모음을 골라 한글을 조합하며 HMD는 사용하지 않는다.
ikegami2017flick	日本語モバイルIMEで単語分割と再帰型言語モデルを用い、現在の入力と履歴から次の語を予測する。	일본어 모바일 IME에서 단어 분할과 순환 언어 모델로 현재 입력 및 이력에 따른 다음 단어를 예측한다.
ilinkin2017evaluation	腕時計での反復転記により韓国語入力方式を比較する。修正時は音節全体ではなく個々の字母を削除する。	스마트워치에서 반복 전사로 한국어 입력 방식을 비교하며, 수정 시 음절 전체 대신 개별 자모를 지운다.
shin2017non	Kinectが空中タップを検出してひらがなや英語を入力する。修飾・削除・空白・文字種切替も備える。	Kinect로 공중 탭을 감지하여 히라가나나 영어를 입력하며 수정 기호·삭제·공백·문자 종류 전환을 지원한다.
nguyen2018online	記録済みの日本語手書き軌跡を再帰型ネットワークで文字や行として認識する。対話的な候補画面は評価しない。	순환 신경망으로 기록된 일본어 필기 궤적을 문자나 행으로 인식한다. 대화형 후보 인터페이스는 평가하지 않는다.
takei2018button	2行6列のタブレット用ボタンで仮名・特殊文字・操作を入力する。仮名漢字変換は行わない。	태블릿의 2행 6열 버튼으로 가나·특수 문자·명령을 입력하며 가나–한자 변환은 하지 않는다.
tojo2018bubbleflick	円形の腕時計キーボードで方向フリックにより仮名を選び、中央でカーソル移動と削除を操作する。	원형 스마트워치 키보드에서 방향 플릭으로 가나를 고르고 중앙 영역에서 커서 이동과 삭제를 조작한다.
tanaka2019micro	小さなタッチ面でスライドにより五十音の行を選び、タップで母音位置を指定してひらがなを入力する。	작은 터치면에서 슬라이드로 오십음도 행을 고르고 탭으로 모음 위치를 지정하여 히라가나를 입력한다.
toba2019efficient	腕時計で候補選択とキーボード操作により日本語音声認識の誤りを直す。実験では再発話を禁止した。	스마트워치에서 후보 선택과 키보드 조작으로 일본어 음성 인식 오류를 수정한다. 실험에서는 재발화를 금지했다.
nakamura2020japanese	両手用タブレットキーボードに仮名フリック、辞書による漢字変換、専用候補領域を組み合わせる。	양손 태블릿 키보드에 가나 플릭, 사전 기반 한자 변환, 전용 후보 영역을 결합한다.
sato2020homonym	語義クラスタリングで日本語の同音語を正規化し、オフラインの仮名漢字変換モジュールに用いる。	의미 군집화로 일본어 동음어를 정규화하여 오프라인 가나–한자 변환 모듈에 활용한다.
nakamura2021bimanual	常用漢字を直接選択でき、その他の漢字とカタカナは変換領域から入力する。	상용한자를 직접 선택하고 다른 한자와 가타카나는 변환 영역에서 입력한다.
takahashi2021japanese	VRのフリック画面でひらがなを入力し文を表示する。漢字候補への変換は評価しない。	VR 플릭 인터페이스로 히라가나를 입력하고 문장을 표시한다. 한자 후보 변환은 평가하지 않는다.
yokoyama2021joyflick	2本のジョイスティックと修飾ボタンで日本語の仮名を入力する。IME統合とVR利用は今後の拡張として述べる。	조이스틱 두 개와 수정 버튼으로 일본어 가나를 입력한다. IME 통합과 VR 활용은 향후 확장으로 논의한다.
ikegami2024fast	日本語モバイルIMEが再帰型モデルによる語予測と変換候補を提供し、入力時間とキー操作をMozcと比較する。	일본어 모바일 IME가 순환 모델 기반 단어 예측 및 변환 후보를 제공하며 입력 시간과 키 조작을 Mozc와 비교한다.
sarhangzadeh2024alignment	アラインメントに基づく方策で、復号器の読み取りと出力の時機を制御しながら仮名を逐次変換する。	정렬 기반 정책으로 디코더의 읽기와 출력 시점을 제어하며 가나를 일본어 표기문으로 점진 변환한다.
wada2025flick	腕時計のベゼルスワイプと間接タッチで仮名を選ぶ。図示された漢字変換への拡張は未実装・未評価である。	스마트워치의 베젤 스와이프와 간접 터치로 가나를 선택한다. 그림에 제시된 한자 변환 확장은 구현·평가되지 않았다.
kishi2026proposal	ピンチでVR仮名キーボードを操作し、編集モードで削除・修飾・変換候補選択を行う。	핀치로 VR 가나 키보드를 조작하고 편집 모드에서 삭제·수정 기호·변환 후보 선택을 수행한다.
mokuya2026japanese	腕時計の大きな子音キーと母音タップで仮名を合成する。予測変換は今後の課題として提案する。	스마트워치의 큰 자음 키와 모음 탭으로 가나를 조합하며 예측 변환은 향후 과제로 제안한다.
takeuchi2026kuchimoji	口形から母音を推定し、走査と確認信号で仮名を選ぶ。音声再生を備えるが漢字変換は行わない。	입 모양으로 모음을 추정하고 스캔 및 확인 신호로 가나를 선택한다. 음성 재생은 지원하지만 한자 변환은 하지 않는다.
tanakaishii2002entering	4個の文字ボタンによる曖昧な入力を、予測補完と順位付き単語候補の選択によって解決する。	문자 버튼 네 개의 모호한 입력을 예측 완성과 순위가 매겨진 단어 후보 선택으로 해소한다.
kurihara2006speech	周囲の音声と手書きの認識から、日本語ノートに本人の筆跡で挿入できる文字列を提案する。	주변 음성과 필기를 인식하여 개인 필체로 일본어 노트에 삽입할 텍스트를 제안한다.
hatano2009japanese	表面筋電から疑似キー入力を生成し、日本語の単語候補の選択・ページ切替・確定を行う。	표면 근전도로 가상 키 이벤트를 생성하여 일본어 단어 후보 선택·페이지 전환·확정을 수행한다.
li2009bci	P300メッセンジャーで中国語の筆画入力、候補選択、削除を行い、完成したメッセージを送る。	P300 메신저에서 중국어 획 입력, 후보 선택, 삭제를 수행하고 완성된 메시지를 전송한다.
jin2010chinese	P300分類に基づく筆画から漢字への候補画面を設計する。実験は自由なメッセージでなく指定部品を評価する。	P300 분류에 따른 획–중국 한자 후보 인터페이스를 설계한다. 실험은 자유 메시지 대신 지정된 구성 요소를 평가한다.
kotani2010design	視線の時間制御で仮名を選び、文字と音で確認する。校正によりセンサーのドリフトを補正する。	시선 타이밍으로 가나를 선택하고 문자와 소리로 확인한다. 보정으로 센서 드리프트를 수정한다.
lee2011hangul	階層型P300刺激で音節順にHangulの構成要素を選び、終声なしと取り消しの操作を備える。	계층형 P300 자극으로 음절 순서에 따라 한글 구성 요소를 선택하며 종성 없음과 실행 취소를 지원한다.
sun2011design	ERPによる注音選択から繁体字候補を生成し、文字選択・ページ切替・削除を行う。	ERP 기반 주음 선택으로 번체 한자 후보를 생성하고 문자 선택·페이지 전환·삭제를 수행한다.
bi2012multilingual	タッチ配列の最適化に拼音のローマ字部分を含む。漢字候補段階は対象外で、ユーザー実験は英語で行う。	터치 배열 최적화에 병음의 로마자 부분을 포함한다. 한자 후보 단계는 제외하며 사용자 실험은 영어로 진행한다.
liang2012eye	視線で拼音キーと中国語句候補を選び、ページ切替・句読点・後退削除を操作する。	시선으로 병음 키와 중국어 구 후보를 선택하고 페이지 전환·문장 부호·백스페이스를 조작한다.
minett2012chinese	3段階のP300選択で構成要素から繁体字を合成する。実験では構成要素の誤りの修正を禁止した。	3단계 P300 선택으로 구성 요소를 조합해 번체 한자를 만든다. 실험에서는 구성 요소 오류 수정을 금지했다.
chen2013cursor	運動想像でカーソルを動かして拼音字母を選び、中国語IMEで漢字へ変換してメッセージを作る。	운동 상상으로 커서를 움직여 병음 글자를 선택하고 중국어 IME로 한자로 변환하여 메시지를 작성한다.
hagiwara2013koosho	空中で描く字母軌跡から格子を作り、子音の復号で漢字候補を生成する。利用者はタッチで検索語を確定する。	공중에 쓴 글자 궤적으로 격자를 만들고 자음 디코딩으로 한자 후보를 생성한다. 사용자는 터치로 검색어를 확정한다.
huang2013fastest	脳波で注音を選んでから漢字候補へ切り替える。報告実験は文全体ではなく項目選択を測定する。	뇌파로 주음을 선택한 뒤 한자 후보로 전환한다. 보고된 실험은 전체 문장 대신 항목 선택을 측정한다.
yu2016brain	P300で拼音の声母・韻母から頻度順の漢字へ進む。予測・ページ切替・修正の操作を備える。	P300으로 병음 성모·운모에서 빈도순 한자로 진행하며 예측·페이지 전환·수정을 지원한다.
han2017eighty	80標的の脳波スペラーでまず拼音範囲、次に同音漢字候補を選び、修正用の追加命令を備える。	80개 표적의 뇌파 스펠러에서 병음 범위를 고른 뒤 동음 한자 후보를 선택하며 추가 교정 명령을 지원한다.
gan2020air	連続した空中の中国語手書きを投影し、時間畳み込み・再帰モデル・言語モデルで文字列に復号する。	연속 공중 중국어 필기를 투영하고 시간 합성곱·순환 모델·언어 모델로 텍스트를 디코딩한다.
li2020approach	拼音構成要素の入力時に生じる誤り関連脳反応を検出する。最終漢字の自動修正は実証しない。	병음 구성 요소 입력 중 오류 관련 뇌 반응을 검출한다. 최종 한자 텍스트의 자동 교정은 입증하지 않는다.
shi2020steady	SSVEP画面で拼音入力と漢字候補選択を組み合わせ、ALS当事者の家庭内コミュニケーションを支援する。	SSVEP 인터페이스로 병음 입력과 한자 후보 선택을 결합하여 ALS 당사자의 가정 내 소통을 지원한다.
guo2021calibration	更新型P300分類器が指定された拼音と中国語単語の選択を支援し、既知の転記対象を報酬として用いる。	갱신형 P300 분류기가 지정된 병음과 중국어 단어 선택을 지원하며 알려진 전사 대상을 보상으로 사용한다.
ogata2021effectiveness	視線操作のローマ字キーから日本語の仮名をエディターへ送り、修飾と削除も行う。漢字変換は評価しない。	시선으로 조작하는 로마자 키로 일본어 가나를 편집기에 입력하며 수정 기호와 삭제를 지원한다. 한자 변환은 평가하지 않는다.
huang2022calibration	転移型P300分類器が指示入力で拼音の声母・韻母・声調を選ぶ。自由作文での修正は実証しない。	전이 기반 P300 분류기가 지정 입력에서 병음 성모·운모·성조를 선택한다. 자유 작문의 교정은 입증하지 않는다.
li2022practical	P300で拼音の声母と韻母を選び、続いて視線で同音字一覧から漢字を選ぶ。	P300으로 병음 성모와 운모를 선택한 뒤 시선 추적으로 동음자 목록에서 한자를 고른다.
tang2022interface	注視選択と修正を許可した日常文入力により、3種類の視線操作中国語キーボード配列を比較する。	응시 선택과 교정을 허용한 일상 문장 입력으로 세 가지 시선 제어 중국어 키보드 배열을 비교한다.
gao2024character	隠れマルコフモデルでP300スペラーの拼音記号列を修正する。最終漢字候補の確定は示さない。	은닉 마르코프 모델로 P300 스펠러의 병음 기호열을 교정한다. 최종 한자 후보 확정은 제시하지 않는다.
hosono2024segmentation	空中のひらがな軌跡を分割して文字列として認識し、固定された五十音列で評価する。	공중 히라가나 궤적을 분할하여 문자열로 인식하고 고정된 오십음도 순서로 평가한다.
tong2024eye	眼球運動で限定された中国語文字集合の筆画を描く。単字実験には一・十・床が含まれる。	눈 움직임으로 제한된 중국어 문자 집합의 획을 그린다. 단일 문자 실험에는 一·十·床이 포함된다.
yang2024reconstructing	外部から与えた筆画遷移を使い、脳信号から想像した中国語手書き軌跡を再構成して、テンプレートと言語モデルで復号する。	외부에서 주어진 획 전환을 사용하여 뇌 신호로 상상한 중국어 필기 궤적을 재구성하고 템플릿과 언어 모델로 디코딩한다.
wu2025mind	想像した手書きを個別の拼音構成要素へ分類する。同音字の選択と最終漢字の合成は評価しない。	상상한 필기를 개별 병음 구성 요소로 분류한다. 동음자 선택과 최종 한자 조합은 평가하지 않는다.
ahn2026cheonjiin	EEGで5種類のカーソル命令を選び、CheonjiinキーボードでHangulを合成する。命令精度と文字入力精度を区別する。	EEG로 다섯 가지 커서 명령을 선택하여 천지인 키보드에서 한글을 조합한다. 명령 정확도와 문자 입력 정확도를 구분한다.
li2026asynchronous	視線とP300で声母・韻母・漢字を選び、言語モデルの文脈予測で補う。	시선과 P300으로 성모·운모·한자를 선택하고 언어 모델의 문맥 예측으로 보완한다.
wang2026eeg	想像した中国語の筆画と拼音母音を記録したデータセットである。文字全体の合成やオンライン入力は実証しない。	상상한 중국어 획과 병음 모음을 기록한 데이터셋이다. 완전한 문자 조합이나 온라인 입력은 입증하지 않는다.
komiya2017japanese	VRで指の屈曲と伸展により子音と母音を選んで仮名を作り、別のジェスチャーで削除する。	VR에서 손가락 굽힘과 폄으로 자음과 모음을 선택해 가나를 만들고 별도 제스처로 삭제한다.
ogitani2018space	仮想12キーを空中または手のひら上のフリックで操作し、日本語の仮名と英語を入力する。	가상 12키를 공중 또는 손바닥 위 플릭으로 조작하여 일본어 가나와 영어를 입력한다.
yang2018interaction	ジェスチャー認識で筆記と移動を分け、投影した3次元軌跡を中国語手書き認識器へ渡す。	제스처 인식으로 필기와 위치 이동을 구분하고 투영된 3차원 궤적을 중국어 필기 인식기에 전달한다.
kato2023hover	手首カメラで空中の指先を検出し、腕を下げたまま滞留操作で仮名を選ぶ。	손목 카메라로 떠 있는 손끝을 감지하여 팔을 내린 상태에서 머무르기로 가나를 선택한다.
monobe2025research	VR仮名キーボードをタッチ・ピンチ・フリックで操作し、修飾と削除も行う。	터치·핀치·플릭으로 VR 가나 키보드를 조작하며 수정 기호와 삭제를 지원한다.
yuasa2025flickpose	片手でキー、もう片手の姿勢で記号を選ぶ。辞書による仮名漢字変換で日本語の文字列を作る。	한 손으로 키를 고르고 다른 손 자세로 문자를 선택한다. 사전 기반 가나–한자 변환으로 일본어 텍스트를 만든다.
chen2000statistical	統計的な拼音漢字変換に言語モデル、綴り誤りの許容、モード切替不要の英語入力を組み合わせる。	통계적 병음–한자 변환에 언어 모델, 철자 오류 허용, 모드 전환 없는 영어 입력을 결합한다.
wang2001chinese	単一漢字の書き取りで、キーボードと視線による中国語候補選択を比較する。	한자 한 글자 받아쓰기에서 키보드와 시선 기반 중국어 후보 선택을 비교한다.
liu2002approach	小容量の拼音変換器が実単語と人工的な語を学習し、声調付き拼音から漢字への変換を改善する。	소용량 병음 변환기가 실제 단어와 인공 단어 항목을 학습하여 성조 병음–한자 변환을 개선한다.
lo2002cross	クロスプラットフォームのエンジンが倉頡と簡略形状コード入力を示す。接頭部のヒント、番号付き候補、ブラウザーの字形画像を備える。	크로스 플랫폼 엔진으로 창힐과 간소화 형태 코드 입력을 제시한다. 접두 힌트, 번호 후보, 브라우저 글리프 이미지를 제공한다.
matic2002quickstroke	筆画を加えるたびに中国語手書き候補を更新し、文字を最後まで書く前に選択できる。	획을 추가할 때마다 중국어 필기 후보를 갱신하여 글자를 완성하기 전에 선택할 수 있다.
